历史,595,165,2294
历史,594,150,2444
历史,593,139,2583
历史,592,159,2742
历史,591,154,2896
历史,590,166,3062
历史,589,181,3243
历史,588,177,3420
历史,587,161,3581
历史,586,181,3762
历史,585,193,3955
历史,584,202,4157
历史,583,220,4377
历史,582,219,4596
历史,581,200,4796
历史,580,202,4998
历史,579,236,5234
历史,578,230,5464
历史,577,249,5713
历史,576,238,5951
历史,575,257,6208
历史,574,249,6457
历史,573,268,6725
历史,572,263,6988
历史,571,272,7260
历史,570,314,7574
历史,569,282,7856
历史,568,323,8179
历史,567,334,8513
历史,566,298,8811
历史,565,349,9160
历史,564,334,9494
历史,563,357,9851
历史,562,342,10193
历史,561,356,10549
历史,560,357,10906
历史,559,379,11285
历史,558,388,11673
历史,557,372,12045
历史,556,391,12436
历史,555,369,12805
历史,554,402,13207
历史,553,388,13595
历史,552,421,14016
历史,551,380,14396
历史,550,404,14800
历史,549,405,15205
历史,548,420,15625
历史,547,391,16016
历史,546,420,16436
历史,545,456,16892
历史,544,432,17324
历史,543,492,17816
历史,542,442,18258
历史,541,470,18728
历史,540,475,19203
历史,539,446,19649
历史,538,447,20096
历史,537,487,20583
历史,536,504,21087
历史,535,506,21593
历史,534,493,22086
历史,533,475,22561
历史,532,485,23046
历史,531,532,23578
历史,530,515,24093
历史,529,498,24591
历史,528,495,25086
历史,527,491,25577
历史,526,539,26116
历史,525,517,26633
历史,524,553,27186
历史,523,513,27699
历史,522,550,28249
历史,521,520,28769
历史,520,559,29328
历史,519,581,29909
历史,518,525,30434
历史,517,566,31000
历史,516,568,31568
历史,515,614,32182
历史,514,581,32763
历史,513,549,33312
历史,512,579,33891
历史,511,597,34488
历史,510,566,35054
历史,509,562,35616
历史,508,597,36213
历史,507,557,36770
历史,506,621,37391
历史,505,616,38007
历史,504,605,38612
历史,503,626,39238
历史,502,607,39845
历史,501,589,40434
历史,500,610,41044
历史,499,591,41635
历史,498,616,42251
历史,497,623,42874
历史,496,616,43490
历史,495,600,44090
历史,494,590,44680
历史,493,621,45301
历史,492,577,45878
历史,491,584,46462
历史,490,631,47093
历史,489,604,47697
历史,488,639,48336
历史,487,591,48927
历史,486,597,49524
历史,485,602,50126
历史,484,612,50738
历史,483,618,51356
历史,482,607,51963
历史,481,616,52579
历史,480,581,53160
历史,479,577,53737
历史,478,617,54354
历史,477,565,54919
历史,476,591,55510
